file,cyclomatic,ir_instructions,ir_offset,num_qubits,num_gates,num_cx,num_measure,num_u1,num_u2,num_u3,depth,user_time_s,sys_time_s,cpu_time_s,max_rss_kb
cc01_ir132815.c,1.0,132818.0,0.0,168.0,10425.0,4968.0,12.0,4840.0,396.0,209.0,1306.0,1.63,0.17,1.7999999999999998,100820.0
cc01_ir132828.c,1.0,132831.0,13.0,252.0,18255.0,8688.0,12.0,8442.0,704.0,409.0,2020.0,1.92,0.21,2.13,109176.0
cc01_ir132859.c,1.0,132848.0,30.0,348.0,27810.0,13248.0,12.0,12865.0,1056.0,629.0,3316.0,2.55,0.21,2.76,112632.0
cc01_ir132915.c,1.0,132904.0,86.0,684.0,60262.0,28704.0,12.0,27845.0,2288.0,1413.0,7068.0,3.75,0.29,4.04,136892.0
cc01_ir133019.c,1.0,133008.0,190.0,1308.0,120530.0,57408.0,12.0,55665.0,4576.0,2869.0,14036.0,7.5,0.33,7.83,175084.0
cc01_ir133169.c,1.0,133158.0,340.0,2208.0,207455.0,98808.0,12.0,95790.0,7876.0,4969.0,24086.0,13.86,0.39,14.25,248452.0
cc01_ir133419.c,1.0,133408.0,590.0,3708.0,352330.0,167808.0,12.0,162665.0,13376.0,8469.0,40836.0,31.52,0.44,31.96,366744.0
cc01_ir133719.c,1.0,133708.0,890.0,5508.0,526180.0,250608.0,12.0,242915.0,19976.0,12669.0,60936.0,66.22,0.72,66.94,524156.0
cc01_ir134219.c,1.0,134208.0,1390.0,8508.0,815930.0,388608.0,12.0,376665.0,30976.0,19669.0,94436.0,162.14,0.9,163.04,678900.0
cc01_ir134819.c,1.0,134808.0,1990.0,12108.0,1163630.0,554208.0,12.0,537165.0,44176.0,28069.0,134636.0,339.23,1.76,340.99,1031256.0
cc02_ir132818.c,2.0,132821.0,0.0,290.0,31281.0,15366.0,24.0,15092.0,588.0,211.0,16449.0,5.28,0.22,5.5,127264.0
cc02_ir132831.c,2.0,132834.0,13.0,374.0,39102.0,19086.0,24.0,18702.0,896.0,394.0,17152.0,6.49,0.25,6.74,132776.0
cc02_ir132862.c,2.0,132851.0,30.0,470.0,48666.0,23646.0,24.0,23117.0,1248.0,631.0,18459.0,6.86,0.22,7.08,136408.0
cc02_ir132918.c,2.0,132907.0,86.0,806.0,81118.0,39102.0,24.0,38097.0,2480.0,1415.0,22211.0,8.15,0.25,8.4,164272.0
cc02_ir133022.c,2.0,133011.0,190.0,1430.0,141386.0,67806.0,24.0,65917.0,4768.0,2871.0,29179.0,12.03,0.36,12.389999999999999,218052.0
cc02_ir133172.c,2.0,133161.0,340.0,2330.0,228311.0,109206.0,24.0,106042.0,8068.0,4971.0,39229.0,18.83,0.39,19.22,260512.0
