file,cyclomatic,ir_instructions,ir_offset,num_qubits,num_gates,num_cx,num_measure,num_u1,num_u2,num_u3,depth,user_time_s,sys_time_s,cpu_time_s,max_rss_kb
cc01_ir176058.c,1.0,176051,0.0,144,8206,3968,16,3915,240,67,850,1.5,0.43,1.93,93048
cc01_ir176158.c,1.0,176151,100.0,944,110769,53568,16,52313,3240,1632,9807,14.84,0.51,15.35,167368
cc01_ir176249.c,1.0,176256,205.0,1792,218968,105888,16,103365,6420,3279,18993,42.22,0.61,42.83,249840
cc01_ir176349.c,1.0,176356,305.0,2592,321517,155488,16,151764,9420,4829,27943,65.58,0.71,66.28999999999999,349840
cc01_ir176449.c,1.0,176456,405.0,3392,424068,205088,16,200165,12420,6379,36893,122.23,0.94,123.17,382748
cc01_ir176549.c,1.0,176556,505.0,4192,526618,254688,16,248565,15420,7929,45843,179.07,1.15,180.22,524320
cc01_ir176649.c,1.0,176656,605.0,4992,629168,304288,16,296965,18420,9479,54793,257.47,1.23,258.70000000000005,601256
cc01_ir176749.c,1.0,176756,705.0,5792,731717,353888,16,345364,21420,11029,63743,348.85,1.44,350.29,638960
cc01_ir176849.c,1.0,176856,805.0,6592,834268,403488,16,393765,24420,12579,72693,402.42,1.36,403.78000000000003,688484
cc01_ir176949.c,1.0,176956,905.0,7392,936818,453088,16,442165,27420,14129,81643,503.44,1.76,505.2,738668
cc01_ir177049.c,1.0,177056,1005.0,8192,1039368,502688,16,490565,30420,15679,90593,665.39,2.08,667.47,891140
cc01_ir177149.c,1.0,177156,1105.0,8992,1141917,552288,16,538964,33420,17229,99543,767.1,2.49,769.59,972960
cc01_ir177249.c,1.0,177256,1205.0,9792,1244468,601888,16,587365,36420,18779,108493,881.63,2.4,884.03,1031964
cc01_ir177349.c,1.0,177356,1305.0,10592,1347018,651488,16,635765,39420,20329,117443,934.62,2.32,936.94,1088684
cc01_ir177449.c,1.0,177456,1405.0,11392,1449568,701088,16,684165,42420,21879,126393,1259.17,2.74,1261.91,1129164
cc01_ir177549.c,1.0,177556,1505.0,12192,1552117,750688,16,732564,45420,23429,135343,1284.88,2.95,1287.8300000000002,1156956
cc01_ir177649.c,1.0,177656,1605.0,12992,1654668,800288,16,780965,48420,24979,144293,1612.0,3.11,1615.11,1215304
cc01_ir177749.c,1.0,177756,1705.0,13792,1757218,849888,16,829365,51420,26529,153243,1536.12,2.95,1539.07,1256096
cc01_ir177849.c,1.0,177856,1805.0,14592,1859768,899488,16,877765,54420,28079,162193,1999.38,3.49,2002.8700000000001,1326016
cc01_ir177949.c,1.0,177956,1905.0,15392,1962317,949088,16,926164,57420,29629,171143,2206.52,3.98,2210.5,1608840
cc01_ir178058.c,1.0,178051,2000.0,16144,2059219,995968,16,971913,60240,31082,179857,2174.88,4.1,2178.98,1628168
cc01_ir178158.c,1.0,178151,2100.0,16944,2161769,1045568,16,1020313,63240,32632,188807,2811.95,4.63,2816.58,1735248
cc01_ir178258.c,1.0,178251,2200.0,17744,2264319,1095168,16,1068713,66240,34182,197757,2863.77,4.51,2868.28,1779964
cc01_ir178358.c,1.0,178351,2300.0,18544,2366869,1144768,16,1117113,69240,35732,206707,3402.67,4.73,3407.4,1854636
cc01_ir178458.c,1.0,178451,2400.0,19344,2469419,1194368,16,1165513,72240,37282,215657,3704.15,4.86,3709.01,1935392
cc01_ir178558.c,1.0,178551,2500.0,20144,2571969,1243968,16,1213913,75240,38832,224607,2898.22,4.18,2902.3999999999996,1983012
cc01_ir178658.c,1.0,178651,2600.0,20944,2674519,1293568,16,1262313,78240,40382,233557,3489.72,4.03,3493.75,2015300
cc01_ir178758.c,1.0,178751,2700.0,21744,2777069,1343168,16,1310713,81240,41932,242507,3477.47,4.25,3481.72,2059116
cc01_ir178858.c,1.0,178851,2800.0,22544,2879619,1392768,16,1359113,84240,43482,251457,2798.54,4.01,2802.55,2097812
cc01_ir178958.c,1.0,178951,2900.0,23344,2982169,1442368,16,1407513,87240,45032,260407,3113.76,3.69,3117.4500000000003,2150500
