cc,bin_idx,pre_steps
1,1,16
1,2,18
1,3,21
1,4,23
1,5,26
1,6,28
1,7,31
1,8,33
1,9,36
1,10,38
1,11,41
1,12,43
1,13,46
1,14,48
1,15,51
1,16,53
1,17,56
1,18,58
1,19,61
1,20,63
2,1,14
2,2,17
2,3,19
2,4,22
2,5,24
2,6,27
2,7,29
2,8,32
2,9,34
2,10,37
2,11,39
2,12,42
2,13,44
2,14,47
2,15,49
2,16,52
2,17,54
2,18,57
2,19,59
2,20,62
3,1,13
3,2,15
3,3,18
3,4,20
3,5,23
3,6,25
3,7,28
3,8,30
3,9,33
3,10,35
3,11,38
3,12,40
3,13,43
3,14,45
3,15,48
3,16,50
3,17,53
3,18,55
3,19,58
3,20,60
4,1,11
4,2,14
4,3,16
4,4,19
4,5,21
4,6,24
4,7,26
4,8,29
4,9,31
4,10,34
4,11,36
4,12,39
4,13,41
4,14,44
4,15,46
4,16,49
4,17,51
4,18,54
4,19,56
4,20,59
5,1,9
5,2,12
5,3,15
5,4,17
5,5,20
5,6,22
5,7,25
5,8,27
5,9,30
5,10,32
5,11,35
5,12,37
5,13,40
5,14,42
5,15,45
5,16,47
5,17,50
5,18,52
5,19,55
5,20,57
6,1,7
6,2,11
6,3,13
6,4,16
6,5,18
6,6,21
6,7,23
6,8,26
6,9,28
6,10,31
6,11,33
6,12,36
6,13,38
6,14,41
6,15,43
6,16,46
6,17,48
6,18,51
6,19,53
6,20,56
7,1,6
7,2,8
7,3,12
7,4,14
7,5,17
7,6,19
7,7,22
7,8,24
7,9,27
7,10,29
7,11,32
7,12,34
7,13,37
7,14,39
7,15,42
7,16,44
7,17,47
7,18,49
7,19,52
7,20,54
8,1,4
8,2,7
8,3,9
8,4,13
8,5,15
8,6,18
8,7,20
8,8,23
8,9,25
8,10,28
8,11,30
8,12,33
8,13,35
8,14,38
8,15,40
8,16,43
8,17,45
8,18,48
8,19,50
8,20,53
9,1,3
9,2,5
9,3,8
9,4,11
9,5,14
9,6,16
9,7,19
9,8,21
9,9,24
9,10,26
9,11,29
9,12,31
9,13,34
9,14,36
9,15,39
9,16,41
9,17,44
9,18,46
9,19,49
9,20,51
10,1,1
10,2,4
10,3,6
10,4,9
10,5,12
10,6,15
10,7,17
10,8,20
10,9,22
10,10,25
10,11,27
10,12,30
10,13,32
10,14,35
10,15,37
10,16,40
10,17,42
10,18,45
10,19,47
10,20,50
