file,cyclomatic,ir_instructions,num_qubits,num_gates,num_cx,num_measure,num_u1,num_u2,num_u3
cyclo_ifnest_depth001.c,2.0,184824,120,6759,3291,22,3231,148,67
cyclo_ifnest_depth002.c,3.0,184826,184,10866,5274,33,5153,270,136
cyclo_ifnest_depth003.c,4.0,184828,250,15004,7270,44,7089,396,205
cyclo_ifnest_depth004.c,5.0,184830,318,19168,9277,55,9036,526,274
cyclo_ifnest_depth005.c,6.0,184832,388,23361,11297,66,10995,660,343
cyclo_ifnest_depth006.c,7.0,184834,460,27582,13329,77,12966,798,412
cyclo_ifnest_depth007.c,8.0,184836,534,31831,15374,88,14948,940,481
cyclo_ifnest_depth008.c,9.0,184838,610,36108,17429,99,16944,1086,550
cyclo_ifnest_depth009.c,10.0,184840,688,40413,19497,110,18951,1236,619
cyclo_ifnest_depth010.c,11.0,184842,768,44746,21577,121,20970,1390,688
cyclo_ifnest_depth011.c,12.0,184844,850,49108,23670,132,23001,1548,757
cyclo_ifnest_depth012.c,13.0,184846,934,53497,25774,143,25044,1710,826
cyclo_ifnest_depth013.c,14.0,184848,1020,57915,27891,154,27099,1876,895
cyclo_ifnest_depth014.c,15.0,184850,1108,62361,30020,165,29166,2046,964
cyclo_ifnest_depth015.c,16.0,184852,1198,66835,32162,176,31244,2220,1033
cyclo_ifnest_depth016.c,17.0,184854,1290,71336,34313,187,33336,2398,1102
cyclo_ifnest_depth017.c,18.0,184856,1384,75865,36477,198,35439,2580,1171
cyclo_ifnest_depth018.c,19.0,184858,1480,80421,38653,209,37553,2766,1240
cyclo_ifnest_depth019.c,20.0,184860,1578,85008,40842,220,39681,2956,1309
cyclo_ifnest_depth020.c,21.0,184862,1678,89620,43042,231,41819,3150,1378
cyclo_ifnest_depth021.c,22.0,184864,1780,94263,45255,242,43971,3348,1447
cyclo_ifnest_depth022.c,23.0,184866,1884,98933,47480,253,46134,3550,1516
cyclo_ifnest_depth023.c,24.0,184868,1990,103631,49718,264,48308,3756,1585
cyclo_ifnest_depth024.c,25.0,184870,2098,108357,51966,275,50496,3966,1654
cyclo_ifnest_depth025.c,26.0,184872,2208,113111,54227,286,52695,4180,1723
cyclo_ifnest_depth026.c,27.0,184874,2320,117893,56500,297,54906,4398,1792
cyclo_ifnest_depth027.c,28.0,184876,2434,122704,58786,308,57129,4620,1861
cyclo_ifnest_depth028.c,29.0,184878,2550,127542,61083,319,59364,4846,1930
cyclo_ifnest_depth029.c,30.0,184880,2668,132409,63393,330,61611,5076,1999
cyclo_ifnest_depth030.c,31.0,184882,2788,137304,65715,341,63870,5310,2068
