file,cyclomatic,ir_instructions,num_qubits,num_gates,num_cx,num_measure,num_u1,num_u2,num_u3
instructions_addseq_001.c,1.0,184822,64,1553,736,16,735,60,6
instructions_addseq_002.c,1.0,184823,80,3090,1472,16,1453,120,29
instructions_addseq_003.c,1.0,184824,96,4627,2208,16,2171,180,52
instructions_addseq_004.c,1.0,184825,112,6164,2944,16,2889,240,75
instructions_addseq_005.c,1.0,184826,128,7701,3680,16,3607,300,98
instructions_addseq_006.c,1.0,184827,144,9238,4416,16,4325,360,121
instructions_addseq_007.c,1.0,184828,160,10775,5152,16,5043,420,144
instructions_addseq_008.c,1.0,184829,176,12312,5888,16,5761,480,167
instructions_addseq_009.c,1.0,184830,192,13849,6624,16,6479,540,190
instructions_addseq_010.c,1.0,184831,208,15386,7360,16,7197,600,213
instructions_addseq_011.c,1.0,184832,224,16923,8096,16,7915,660,236
instructions_addseq_012.c,1.0,184833,240,18460,8832,16,8633,720,259
instructions_addseq_013.c,1.0,184834,256,19997,9568,16,9351,780,282
instructions_addseq_014.c,1.0,184835,272,21534,10304,16,10069,840,305
instructions_addseq_015.c,1.0,184836,288,23071,11040,16,10787,900,328
instructions_addseq_016.c,1.0,184837,304,24608,11776,16,11505,960,351
instructions_addseq_017.c,1.0,184838,320,26145,12512,16,12223,1020,374
instructions_addseq_018.c,1.0,184839,336,27682,13248,16,12941,1080,397
instructions_addseq_019.c,1.0,184840,352,29219,13984,16,13659,1140,420
instructions_addseq_020.c,1.0,184841,368,30756,14720,16,14377,1200,443
instructions_addseq_021.c,1.0,184842,384,32293,15456,16,15095,1260,466
instructions_addseq_022.c,1.0,184843,400,33830,16192,16,15813,1320,489
instructions_addseq_023.c,1.0,184844,416,35367,16928,16,16531,1380,512
instructions_addseq_024.c,1.0,184845,432,36904,17664,16,17249,1440,535
instructions_addseq_025.c,1.0,184846,448,38441,18400,16,17967,1500,558
instructions_addseq_026.c,1.0,184847,464,39978,19136,16,18685,1560,581
instructions_addseq_027.c,1.0,184848,480,41515,19872,16,19403,1620,604
instructions_addseq_028.c,1.0,184849,496,43052,20608,16,20121,1680,627
instructions_addseq_029.c,1.0,184850,512,44589,21344,16,20839,1740,650
instructions_addseq_030.c,1.0,184851,528,46126,22080,16,21557,1800,673
