file,cyclomatic,ir_instructions,num_qubits,num_gates,num_cx,num_measure,num_u1,num_u2,num_u3,depth
cyclo_ifnest_depth001.c,2.0,144134,120,6759,3291,22,3231,148,67,1962
cyclo_ifnest_depth002.c,3.0,144136,184,10866,5274,33,5153,270,136,2311
cyclo_ifnest_depth003.c,4.0,144138,250,15004,7270,44,7089,396,205,2661
cyclo_ifnest_depth004.c,5.0,144140,318,19168,9277,55,9036,526,274,3014
cyclo_ifnest_depth005.c,6.0,144142,388,23361,11297,66,10995,660,343,3368
cyclo_ifnest_depth006.c,7.0,144144,460,27582,13329,77,12966,798,412,3722
cyclo_ifnest_depth007.c,8.0,144146,534,31831,15374,88,14948,940,481,4077
cyclo_ifnest_depth008.c,9.0,144148,610,36108,17429,99,16944,1086,550,4434
cyclo_ifnest_depth009.c,10.0,144150,688,40413,19497,110,18951,1236,619,4792
cyclo_ifnest_depth010.c,11.0,144152,768,44746,21577,121,20970,1390,688,5150
cyclo_ifnest_depth011.c,12.0,144154,850,49108,23670,132,23001,1548,757,5509
