file,num_qubits,num_gates,num_cx,num_measure,num_u1,num_u2,num_u3,depth
instructions_T02_idx001_x0_2.qasm,80,3090,1472,16,1453,120,29,391
instructions_T02_idx002_x0_0_x1_1.qasm,120,6759,3291,22,3231,148,67,1962
instructions_T04_idx001_x0_4.qasm,112,6164,2944,16,2889,240,75,629
instructions_T04_idx002_x0_2_x1_1.qasm,152,9821,4763,22,4669,268,99,2142
instructions_T04_idx003_x0_0_x1_2.qasm,136,9426,4618,22,4538,180,68,3488
instructions_T04_idx004_x0_0_x2_1.qasm,184,10866,5274,33,5153,270,136,2311
instructions_T06_idx001_x0_6.qasm,144,9238,4416,16,4325,360,121,867
instructions_T06_idx002_x0_4_x1_1.qasm,184,12895,6235,22,6105,388,145,2380
instructions_T06_idx003_x0_2_x1_2.qasm,168,12488,6090,22,5976,300,100,3668
instructions_T06_idx004_x0_2_x2_1.qasm,216,13929,6746,33,6592,390,168,2491
instructions_T06_idx005_x0_0_x1_3.qasm,152,12093,5945,22,5845,212,69,5015
instructions_T06_idx006_x0_0_x1_1_x2_1.qasm,412,28599,13903,66,13579,708,343,4580
instructions_T06_idx007_x0_0_x3_1.qasm,250,15004,7270,44,7089,396,205,2661
instructions_T08_idx001_x0_8.qasm,176,12312,5888,16,5761,480,167,1105
instructions_T08_idx002_x0_6_x1_1.qasm,216,15969,7707,22,7541,508,191,2618
instructions_T08_idx003_x0_4_x1_2.qasm,200,15562,7562,22,7412,420,146,3906
instructions_T08_idx004_x0_4_x2_1.qasm,248,17003,8218,33,8028,510,214,2729
instructions_T08_idx005_x0_2_x1_3.qasm,184,15155,7417,22,7283,332,101,5195
instructions_T08_idx006_x0_2_x1_1_x2_1.qasm,444,31661,15375,66,15017,828,375,4760
instructions_T08_idx007_x0_2_x3_1.qasm,282,18066,8742,44,8527,516,237,2841
instructions_T08_idx008_x0_0_x1_4.qasm,168,14760,7272,22,7152,244,70,6542
instructions_T08_idx009_x0_0_x1_2_x2_1.qasm,428,31266,15230,66,14886,740,344,6107
instructions_T08_idx010_x0_0_x1_1_x3_1.qasm,548,36926,17917,88,17472,968,481,4953
instructions_T08_idx011_x0_0_x2_2.qasm,201,13547,6607,33,6466,304,137,3791
instructions_T08_idx012_x0_0_x4_1.qasm,318,19168,9277,55,9036,526,274,3014
instructions_T10_idx001_x0_10.qasm,208,15386,7360,16,7197,600,213,1343
instructions_T10_idx002_x0_8_x1_1.qasm,248,19043,9179,22,8977,628,237,2856
instructions_T10_idx003_x0_6_x1_2.qasm,232,18636,9034,22,8848,540,192,4144
instructions_T10_idx004_x0_6_x2_1.qasm,280,20077,9690,33,9464,630,260,2967
instructions_T10_idx005_x0_4_x1_3.qasm,216,18229,8889,22,8719,452,147,5433
instructions_T10_idx006_x0_4_x1_1_x2_1.qasm,476,34735,16847,66,16453,948,421,4998
instructions_T10_idx007_x0_4_x3_1.qasm,314,21140,10214,44,9963,636,283,3079
instructions_T10_idx008_x0_2_x1_4.qasm,200,17822,8744,22,8590,364,102,6722
instructions_T10_idx009_x0_2_x1_2_x2_1.qasm,460,34328,16702,66,16324,860,376,6287
instructions_T10_idx010_x0_2_x1_1_x3_1.qasm,580,39988,19389,88,18910,1088,513,5133
instructions_T10_idx011_x0_2_x2_2.qasm,233,16610,8079,33,7905,424,169,3971
instructions_T10_idx012_x0_2_x4_1.qasm,350,22230,10749,55,10474,646,306,3194
instructions_T10_idx013_x0_0_x1_5.qasm,184,17427,8599,22,8459,276,71,8069
instructions_T10_idx014_x0_0_x1_3_x2_1.qasm,444,33933,16557,66,16193,772,345,7634
instructions_T10_idx015_x0_0_x1_2_x3_1.qasm,564,39593,19244,88,18779,1000,482,6480
instructions_T10_idx016_x0_0_x1_1_x2_2.qasm,448,33989,16581,66,16217,780,345,6070
instructions_T10_idx017_x0_0_x1_1_x4_1.qasm,688,45312,21957,110,21390,1236,619,5327
