file,cyclomatic,ir_instructions,num_qubits,num_gates,num_cx,num_measure,num_u1,num_u2,num_u3,depth,wall_time_s,peak_rss_bytes
instructions_T02_idx001_x0_2.c,1.0,146283,80,3090,1472,16,1453,120,29,391,0.579462,
instructions_T02_idx002_x0_1_x1_1.c,2.0,146284,136,8284,4027,22,3951,208,76,2023,0.930983,
instructions_T02_idx003_x0_0_x1_2.c,2.0,146285,136,9426,4618,22,4538,180,68,3488,1.196528,
instructions_T02_idx004_x0_0_x2_1.c,3.0,146286,184,10866,5274,33,5153,270,136,2311,0.998228,
instructions_T04_idx001_x0_4.c,1.0,146285,112,6164,2944,16,2889,240,75,629,0.66518,
instructions_T04_idx002_x0_3_x1_1.c,2.0,146286,168,11358,5499,22,5387,328,122,2261,1.009237,
instructions_T04_idx003_x0_2_x1_2.c,2.0,146285,168,12488,6090,22,5976,300,100,3668,1.300961,
instructions_T04_idx004_x0_2_x2_1.c,3.0,146285,216,13929,6746,33,6592,390,168,2491,1.10043,
instructions_T04_idx005_x0_1_x1_3.c,2.0,146284,168,13618,6681,22,6565,272,78,5076,1.758243,
instructions_T04_idx006_x0_1_x1_1_x2_1.c,4.0,146278,428,30124,14639,66,14299,768,352,4641,1.993818,
instructions_T04_idx007_x0_1_x3_1.c,4.0,146284,266,16529,8006,44,7809,456,214,2722,1.204963,
instructions_T04_idx008_x0_0_x1_4.c,2.0,146287,168,14760,7272,22,7152,244,70,6542,2.210568,
instructions_T04_idx009_x0_0_x1_2_x2_1.c,4.0,146276,428,31266,15230,66,14886,740,344,6107,2.317619,
instructions_T04_idx010_x0_0_x1_1_x3_1.c,5.0,146280,548,36926,17917,88,17472,968,481,4953,2.245489,
instructions_T04_idx011_x0_0_x2_2.c,3.0,146287,201,13547,6607,33,6466,304,137,3791,1.199194,
instructions_T04_idx012_x0_0_x4_1.c,5.0,146290,318,19168,9277,55,9036,526,274,3014,1.338366,
instructions_T06_idx001_x0_6.c,1.0,146287,144,9238,4416,16,4325,360,121,867,0.795161,
instructions_T06_idx002_x0_5_x1_1.c,2.0,146288,200,14432,6971,22,6823,448,168,2499,1.110104,
instructions_T06_idx003_x0_4_x1_2.c,2.0,146287,200,15562,7562,22,7412,420,146,3906,1.387732,
instructions_T06_idx004_x0_4_x2_1.c,3.0,146287,248,17003,8218,33,8028,510,214,2729,1.248616,
instructions_T06_idx005_x0_3_x1_3.c,2.0,146286,200,16692,8153,22,8001,392,124,5314,1.85292,
instructions_T06_idx006_x0_3_x1_1_x2_1.c,4.0,146277,460,33198,16111,66,15735,888,398,4879,2.059931,
instructions_T06_idx007_x0_3_x3_1.c,4.0,146286,298,19603,9478,44,9245,576,260,2960,1.306269,
instructions_T06_idx008_x0_2_x1_4.c,2.0,146285,200,17822,8744,22,8590,364,102,6722,2.43556,
instructions_T06_idx009_x0_2_x1_2_x2_1.c,4.0,146276,460,34328,16702,66,16324,860,376,6287,2.415524,
instructions_T06_idx010_x0_2_x1_1_x3_1.c,5.0,146276,580,39988,19389,88,18910,1088,513,5133,2.352834,
instructions_T06_idx011_x0_2_x2_2.c,3.0,146285,233,16610,8079,33,7905,424,169,3971,1.321493,
instructions_T06_idx012_x0_2_x4_1.c,5.0,146285,350,22230,10749,55,10474,646,306,3194,1.412524,
instructions_T06_idx013_x0_1_x1_5.c,2.0,146284,200,18952,9335,22,9179,336,80,8130,3.062306,
instructions_T06_idx014_x0_1_x1_3_x2_1.c,4.0,146278,460,35458,17293,66,16913,832,354,7695,2.901476,
instructions_T06_idx015_x0_1_x1_2_x3_1.c,5.0,146280,580,41118,19980,88,19499,1060,491,6541,2.634456,
instructions_T06_idx016_x0_1_x1_1_x2_2.c,4.0,146279,464,35514,17317,66,16937,840,354,6131,2.450766,
instructions_T06_idx017_x0_1_x1_1_x4_1.c,6.0,146282,704,46837,22693,110,22110,1296,628,5388,2.881946,
instructions_T06_idx018_x0_1_x2_1_x3_1.c,6.0,146280,856,57848,28036,132,27326,1588,766,6976,3.11776,
instructions_T06_idx019_x0_1_x5_1.c,6.0,146284,404,24886,12033,66,11715,720,352,3429,1.524564,
instructions_T06_idx020_x0_0_x1_6.c,2.0,146289,200,20094,9926,22,9766,308,72,9596,3.91665,
instructions_T06_idx021_x0_0_x1_4_x2_1.c,4.0,146278,460,36600,17884,66,17500,804,346,9161,3.380053,
instructions_T06_idx022_x0_0_x1_3_x3_1.c,5.0,146277,580,42260,20571,88,20086,1032,483,8007,3.040132,
instructions_T06_idx023_x0_0_x1_2_x2_2.c,4.0,146276,464,36656,17908,66,17524,812,346,7597,2.800203,
instructions_T06_idx024_x0_0_x1_2_x4_1.c,6.0,146276,704,47979,23284,110,22697,1268,620,6854,2.899032,
instructions_T06_idx025_x0_0_x1_1_x2_1_x3_1.c,7.0,146296,1766,120097,58207,264,56733,3308,1585,9396,6.391601,
instructions_T06_idx026_x0_0_x1_1_x5_1.c,7.0,146284,832,53755,26021,132,25333,1512,757,5701,2.935606,
instructions_T06_idx027_x0_0_x2_3.c,3.0,146288,218,16228,7940,33,7779,338,138,5271,1.425236,
instructions_T06_idx028_x0_0_x2_1_x4_1.c,7.0,146284,1054,68957,33384,165,32506,1938,964,7623,3.661615,
instructions_T06_idx029_x0_0_x3_2.c,4.0,146289,268,17699,8609,44,8408,432,206,4141,1.384449,
instructions_T06_idx030_x0_0_x6_1.c,7.0,146294,460,27582,13329,77,12966,798,412,3722,1.644259,
instructions_T08_idx001_x0_8.c,1.0,146289,176,12312,5888,16,5761,480,167,1105,0.890564,
instructions_T08_idx002_x0_7_x1_1.c,2.0,146290,232,17506,8443,22,8259,568,214,2737,1.243306,
instructions_T08_idx003_x0_6_x1_2.c,2.0,146289,232,18636,9034,22,8848,540,192,4144,1.625579,
instructions_T08_idx004_x0_6_x2_1.c,3.0,146289,280,20077,9690,33,9464,630,260,2967,1.316609,
instructions_T08_idx005_x0_5_x1_3.c,2.0,146288,232,19766,9625,22,9437,512,170,5552,2.019826,
instructions_T08_idx006_x0_5_x1_1_x2_1.c,4.0,146279,492,36272,17583,66,17171,1008,444,5117,2.229067,
instructions_T08_idx007_x0_5_x3_1.c,4.0,146288,330,22677,10950,44,10681,696,306,3198,1.438495,
instructions_T08_idx008_x0_4_x1_4.c,2.0,146287,232,20896,10216,22,10026,484,148,6960,2.496343,
instructions_T08_idx009_x0_4_x1_2_x2_1.c,4.0,146278,492,37402,18174,66,17760,980,422,6525,2.464636,
instructions_T08_idx010_x0_4_x1_1_x3_1.c,5.0,146278,612,43062,20861,88,20346,1208,559,5371,2.540871,
instructions_T08_idx011_x0_4_x2_2.c,3.0,146287,265,19684,9551,33,9341,544,215,4209,1.426607,
