file,cyclomatic,ir_instructions,num_qubits,num_gates,num_cx,num_measure,num_u1,num_u2,num_u3,depth,wall_time_s,peak_rss_bytes
cc01_bin01_iters0_ops1_pre15x1.c,1.0,191919,384,38983,18848,16,18432,1140,547,3542,3.483459,
cc01_bin01_iters0_ops1_pre16x1.c,1.0,191921,400,41035,19840,16,19401,1200,578,3721,3.386274,
cc01_bin02_iters0_ops1_pre17x1.c,1.0,191923,416,43086,20832,16,20369,1260,609,3900,3.757157,
cc01_bin02_iters0_ops1_pre18x1.c,1.0,191925,432,45137,21824,16,21337,1320,640,4079,3.785993,
cc01_bin03_iters0_ops1_pre20x1.c,1.0,191929,464,49239,23808,16,23273,1440,702,4437,4.190102,
cc01_bin03_iters0_ops1_pre21x1.c,1.0,191931,480,51290,24800,16,24241,1500,733,4616,4.749273,
cc01_bin04_iters0_ops1_pre22x1.c,1.0,191933,496,53341,25792,16,25209,1560,764,4795,4.359984,
cc01_bin04_iters0_ops1_pre23x1.c,1.0,191935,512,55391,26784,16,26176,1620,795,4974,4.547487,
cc01_bin05_iters0_ops1_pre25x1.c,1.0,191939,544,59494,28768,16,28113,1740,857,5332,4.934587,
cc01_bin05_iters0_ops1_pre26x1.c,1.0,191941,560,61545,29760,16,29081,1800,888,5511,5.167552,
cc01_bin06_iters0_ops1_pre27x1.c,1.0,191943,576,63596,30752,16,30049,1860,919,5690,5.427099,
cc01_bin06_iters0_ops1_pre28x1.c,1.0,191945,592,65647,31744,16,31017,1920,950,5869,5.591538,
cc01_bin07_iters0_ops1_pre30x1.c,1.0,191949,624,69749,33728,16,32953,2040,1012,6227,6.574858,
cc01_bin07_iters0_ops1_pre31x1.c,1.0,191951,640,71799,34720,16,33920,2100,1043,6406,6.545192,
cc01_bin08_iters0_ops1_pre32x1.c,1.0,191953,656,73851,35712,16,34889,2160,1074,6585,6.773674,
cc01_bin08_iters0_ops1_pre33x1.c,1.0,191955,672,75902,36704,16,35857,2220,1105,6764,6.439606,
cc01_bin09_iters0_ops1_pre35x1.c,1.0,191959,704,80004,38688,16,37793,2340,1167,7122,6.644204,
cc01_bin09_iters0_ops1_pre36x1.c,1.0,191961,720,82055,39680,16,38761,2400,1198,7301,6.955157,
cc01_bin10_iters0_ops1_pre37x1.c,1.0,191963,736,84106,40672,16,39729,2460,1229,7480,7.146458,
cc01_bin10_iters0_ops1_pre38x1.c,1.0,191965,752,86157,41664,16,40697,2520,1260,7659,8.226497,
cc01_bin11_iters0_ops1_pre40x1.c,1.0,191969,784,90259,43648,16,42633,2640,1322,8017,8.349829,
cc01_bin11_iters0_ops1_pre41x1.c,1.0,191971,800,92310,44640,16,43601,2700,1353,8196,8.033118,
cc01_bin12_iters0_ops1_pre42x1.c,1.0,191973,816,94361,45632,16,44569,2760,1384,8375,8.088937,
cc01_bin12_iters0_ops1_pre43x1.c,1.0,191975,832,96412,46624,16,45537,2820,1415,8554,8.25949,
cc01_bin13_iters0_ops1_pre45x1.c,1.0,191979,864,100514,48608,16,47473,2940,1477,8912,8.556678,
cc01_bin13_iters0_ops1_pre46x1.c,1.0,191981,880,102565,49600,16,48441,3000,1508,9091,8.926009,
cc01_bin14_iters0_ops1_pre47x1.c,1.0,191983,896,104615,50592,16,49408,3060,1539,9270,9.355337,
cc01_bin14_iters0_ops1_pre48x1.c,1.0,191985,912,106667,51584,16,50377,3120,1570,9449,9.487776,
cc01_bin15_iters0_ops1_pre50x1.c,1.0,191989,944,110769,53568,16,52313,3240,1632,9807,10.243634,
cc01_bin15_iters0_ops1_pre51x1.c,1.0,191991,960,112820,54560,16,53281,3300,1663,9986,9.992279,
cc01_bin16_iters0_ops1_pre52x1.c,1.0,191993,976,114871,55552,16,54249,3360,1694,10165,10.297862,
cc01_bin16_iters0_ops1_pre53x1.c,1.0,191995,992,116922,56544,16,55217,3420,1725,10344,11.197461,
cc01_bin17_iters0_ops1_pre55x1.c,1.0,191999,1024,121023,58528,16,57152,3540,1787,10702,11.53575,
cc01_bin17_iters0_ops1_pre56x1.c,1.0,192001,1040,123075,59520,16,58121,3600,1818,10881,11.032625,
cc01_bin18_iters0_ops1_pre57x1.c,1.0,192003,1056,125126,60512,16,59089,3660,1849,11060,11.453281,
cc01_bin18_iters0_ops1_pre58x1.c,1.0,192005,1072,127177,61504,16,60057,3720,1880,11239,11.973161,
cc01_bin19_iters0_ops1_pre60x1.c,1.0,192009,1104,131279,63488,16,61993,3840,1942,11597,12.391321,
cc01_bin19_iters0_ops1_pre61x1.c,1.0,192011,1120,133330,64480,16,62961,3900,1973,11776,12.348977,
cc01_bin20_iters0_ops1_pre62x1.c,1.0,192013,1136,135381,65472,16,63929,3960,2004,11955,12.739487,
cc01_bin20_iters0_ops1_pre63x1.c,1.0,192015,1152,137432,66464,16,64897,4020,2035,12134,12.865491,
